ID,Name,Age,Gender,Department,Salary,Joining Date,Performance Score,Experience,Status,Location,Session
309,Taylor Walters,49,Other,HR,7149,30/12/2023,,3,Inactive,Chicago,Night
310,Abigail Rodriguez,33,Female,Sales,3636,22/04/2017,4,7,Active,Chicago,Morning
311,Dr. Susan Cook,51,Female,Sales,4572,28/07/2020,4,20,Inactive,Los Angeles,Night
312,John Jensen,58,Other,IT,3700,17/04/2023,,16,Active,New York,Night
313,Sean Barrett,26,Female,Sales,3495,03/01/2015,1,18,Active,Los Angeles,Night
314,Kenneth Brown,33,Male,Sales,4391,03/05/2020,5,6,Inactive,Los Angeles,Night
315,Samantha Clark DDS,45,Other,IT,3700,28/02/2016,3,2,Inactive,New York,Evening
316,Cynthia Cox,46,Other,IT,8499,08/12/2022,,4,Inactive,Los Angeles,Night
317,Jamie Gonzalez,43,Other,IT,7956,14/06/2023,,1,Active,Chicago,Evening
318,Joseph Thomas,63,Other,Sales,6741,16/03/2021,4,7,Active,Los Angeles,Night
319,Brent Montes,61,Female,Sales,7087,27/09/2024,2,11,Active,Los Angeles,Night
320,Elizabeth Dudley,58,Other,IT,6233,30/04/2024,1,1,Inactive,Los Angeles,Morning
321,Alexa Romero,22,Other,HR,7299,26/10/2019,2,6,Inactive,Chicago,Night
322,Jerry Smith,39,Male,Sales,7014,03/04/2018,,7,Inactive,New York,Morning
323,James Smith,53,Male,Sales,7727,13/03/2021,,16,Inactive,Los Angeles,Morning
324,Anthony Lam,46,Male,HR,8306,14/11/2024,5,15,Active,New York,Evening
325,Tom Diaz,61,Male,HR,3002,05/12/2023,,5,Inactive,Chicago,Morning
326,Vanessa Gill,26,Female,IT,2156,16/12/2021,,16,Inactive,Los Angeles,Morning
327,Robert Hensley,27,Female,IT,5280,24/06/2016,,19,Inactive,New York,Evening
328,Matthew Guerrero,22,Female,HR,7928,11/05/2021,3,1,Active,Los Angeles,Night
329,Jennifer Vargas,41,Other,IT,6164,13/12/2017,1,11,Inactive,Chicago,Morning
330,Taylor Lopez,32,Male,IT,5502,13/04/2021,4,9,Active,New York,Morning
331,Juan Dean,39,Male,HR,6830,28/06/2015,4,20,Inactive,New York,Evening
332,Karen Hayden,52,Male,Sales,5380,23/04/2020,,8,Active,Chicago,Evening
333,Heather Anderson,38,Female,Sales,6259,13/06/2016,4,5,Active,New York,Night
334,Austin Reyes,25,Female,IT,8301,16/04/2020,,14,Active,Los Angeles,Morning
335,Melissa Fisher,56,Male,HR,6496,20/10/2018,2,11,Active,Los Angeles,Night
336,Danny Allen,35,Male,HR,3656,10/10/2016,2,16,Inactive,New York,Night
337,Jose Costa,58,Other,IT,4908,25/09/2015,,18,Inactive,New York,Night
338,Michelle Brennan,60,Other,HR,9385,29/09/2024,2,15,Inactive,Chicago,Night
339,Amanda Conner,32,Female,IT,4750,25/04/2017,,8,Active,Los Angeles,Night
340,Christopher Jones,47,Other,IT,4528,05/06/2024,5,7,Active,Chicago,Morning
341,Tyrone Juarez,25,Other,IT,8628,15/03/2018,,12,Active,New York,Night
342,Chad Nelson,38,Male,HR,8438,16/09/2023,3,7,Inactive,Chicago,Morning
343,Zachary Gutierrez,45,Other,HR,3491,03/06/2019,,15,Inactive,New York,Night
344,Mark Mcbride,52,Male,IT,8000,05/03/2023,,7,Inactive,New York,Evening
345,Debra Mcdonald,25,Other,IT,3256,25/11/2023,,19,Inactive,Chicago,Morning
346,Luis Sanchez,56,Female,HR,2254,31/10/2017,5,8,Inactive,Chicago,Morning
347,David Durham,62,Female,HR,7803,20/12/2019,,8,Active,Los Angeles,Night
348,Claire Randall,59,Other,IT,2593,29/07/2016,2,14,Inactive,Los Angeles,Evening
349,Rebecca Stewart,42,Female,IT,2614,13/10/2015,,18,Inactive,Chicago,Evening
350,Ryan Cox,44,Male,IT,7895,17/06/2019,5,13,Active,Chicago,Evening
351,Andrew Fletcher,46,Other,HR,8006,23/07/2023,1,6,Inactive,Los Angeles,Morning
352,Nicole Sanchez,19,Female,IT,7335,09/01/2019,5,3,Inactive,Los Angeles,Morning
353,Paul Walters,39,Female,Sales,3353,12/11/2017,,15,Active,Los Angeles,Night
354,Melissa Johnson,30,Male,Sales,7252,27/11/2021,4,14,Active,New York,Morning
355,Karen Ramos,45,Female,HR,4213,12/11/2016,3,12,Inactive,Los Angeles,Night
356,Laura Castillo,41,Male,IT,2392,15/03/2024,1,20,Inactive,Chicago,Morning
357,James Anderson,55,Other,Sales,8344,10/10/2015,2,19,Active,Los Angeles,Evening
358,Andre Hall,61,Male,Sales,2928,04/08/2018,,15,Active,Los Angeles,Evening
359,Scott Hernandez,31,Female,IT,3830,26/12/2019,,5,Inactive,Los Angeles,Morning
360,Wendy Lee,63,Female,HR,6886,30/12/2018,2,18,Inactive,Los Angeles,Morning
361,Tony Ellison,20,Other,IT,4275,26/08/2022,,8,Active,New York,Evening
362,Samuel Irwin,51,Male,Sales,4503,15/03/2020,,5,Active,Chicago,Night
363,Mr. Timothy Mitchell DDS,29,Female,IT,7903,22/01/2018,,1,Active,New York,Night
364,Linda Wall,49,Other,HR,6590,09/03/2023,,15,Active,Los Angeles,Night
365,Mrs. Jacqueline Woodard MD,41,Female,Sales,5988,03/02/2016,5,2,Inactive,Chicago,Morning
366,Johnny Cook,52,Other,Sales,3504,12/02/2022,4,9,Inactive,Los Angeles,Morning
367,Miss Barbara Short,50,Female,Sales,7153,07/08/2024,,1,Inactive,New York,Night
368,Adam Lane,20,Other,HR,7485,16/09/2015,1,2,Active,Chicago,Morning
369,Natasha Spencer,23,Male,HR,7559,09/04/2022,,20,Active,New York,Night
370,Dawn Sanchez,49,Other,HR,5850,11/10/2020,,17,Inactive,New York,Morning
371,Robert Sims,28,Male,HR,4984,21/12/2023,,12,Inactive,Chicago,Evening
372,Allison Carroll,21,Female,IT,9474,24/05/2016,4,4,Inactive,Chicago,Evening
373,Dominic Gray,61,Other,HR,6231,01/04/2015,,15,Active,Chicago,Morning
374,Eric Hill,22,Male,HR,8147,16/06/2019,,17,Active,Los Angeles,Evening
375,Anthony Baldwin,42,Male,IT,9067,15/03/2017,5,5,Active,New York,Morning
376,Jeffrey Nguyen,58,Other,HR,2489,20/03/2018,2,1,Inactive,Chicago,Evening
377,Jonathon Mclaughlin,64,Female,Sales,5606,05/08/2015,5,19,Active,New York,Evening
378,John Anderson,63,Male,Sales,6013,28/09/2023,,10,Active,Chicago,Night
379,Amy Harvey,26,Female,Sales,3556,06/11/2021,,1,Active,Chicago,Night
380,Dustin Le,29,Male,Sales,9726,13/04/2015,1,2,Inactive,Chicago,Evening
381,Kenneth Davis,28,Male,HR,6610,08/06/2020,,12,Inactive,New York,Morning
382,David Marshall,43,Other,Sales,9269,05/10/2018,2,13,Inactive,Los Angeles,Evening
383,Kelly Norton,30,Female,IT,7241,18/12/2014,4,1,Inactive,New York,Morning
384,Wendy Taylor,28,Female,IT,7632,16/05/2020,5,12,Inactive,Los Angeles,Evening
385,Monica Baldwin,33,Female,Sales,7941,24/08/2017,,14,Active,Los Angeles,Night
386,Joseph Martin,61,Other,HR,8450,17/11/2023,,2,Inactive,New York,Evening
387,Omar Martinez,32,Male,IT,7537,30/05/2018,,10,Active,New York,Night
388,Corey Smith,27,Other,Sales,2593,27/07/2017,1,20,Active,New York,Evening
389,Maria Bowman,43,Other,IT,2355,29/03/2015,,5,Active,Chicago,Morning
390,Sandra Gill,40,Female,HR,2567,24/08/2016,,15,Active,Chicago,Evening
391,Chloe Newman,32,Other,Sales,8745,01/08/2019,5,13,Inactive,Los Angeles,Evening
392,Heather Jones,32,Female,HR,6309,25/03/2023,5,5,Active,Los Angeles,Evening
393,Natalie Chavez DDS,20,Other,IT,7431,07/09/2022,5,8,Inactive,New York,Night
394,Marilyn Baker,34,Female,IT,8079,05/06/2024,2,18,Active,Chicago,Morning
395,Robert Oliver,22,Male,HR,8844,29/05/2019,1,14,Active,New York,Morning
396,Mary Mcmillan,64,Male,IT,5850,05/06/2015,2,4,Active,New York,Morning
397,Carolyn Arnold,37,Male,HR,8104,24/11/2020,,20,Active,Los Angeles,Morning
398,Sarah Ruiz,57,Male,Sales,6316,07/01/2022,1,13,Active,New York,Morning
399,Christina Lewis,22,Female,HR,9294,04/05/2020,,11,Inactive,Chicago,Evening
400,Bradley Hernandez,63,Male,Sales,2418,21/08/2018,,7,Active,Los Angeles,Night
401,Allen Miller,35,Female,Sales,6638,31/12/2016,,13,Active,Chicago,Morning
402,Nathan Flores,52,Female,IT,4967,25/10/2019,1,3,Inactive,Los Angeles,Night
403,Briana Martin,59,Male,Sales,4496,22/05/2023,1,20,Inactive,New York,Night
404,David Clark,40,Female,IT,9276,27/09/2016,,12,Active,Chicago,Morning
405,Leroy Jones,20,Other,IT,6520,25/05/2021,,2,Active,Chicago,Morning
406,Heather Scott,57,Male,Sales,9505,18/08/2024,3,6,Inactive,New York,Night
407,Vanessa Mendoza,31,Other,IT,9268,27/07/2017,,5,Active,Chicago,Evening
408,George Weaver,22,Female,HR,7728,24/09/2017,2,17,Active,Los Angeles,Night
409,Doris Cooper,56,Female,IT,5092,09/08/2015,5,19,Inactive,Chicago,Evening
410,Bruce Anderson,51,Male,HR,6689,21/05/2023,3,18,Inactive,Los Angeles,Evening
411,Kimberly Reed,64,Male,Sales,4303,14/08/2015,,8,Inactive,Los Angeles,Morning
412,Tammy Allison,52,Female,Sales,3739,29/06/2016,5,5,Active,Los Angeles,Evening
413,Dale Mejia,27,Male,Sales,4777,25/10/2023,5,12,Active,Chicago,Morning
414,Jacob Kelley,41,Other,HR,7380,25/10/2023,,13,Active,Los Angeles,Morning
415,Matthew Hampton,37,Male,Sales,3524,22/07/2016,,12,Inactive,Los Angeles,Night
416,Brandon Smith,43,Female,IT,4117,20/10/2015,,5,Active,Los Angeles,Night
417,Cynthia Hall,51,Other,Sales,2370,26/02/2018,,5,Inactive,Chicago,Evening
418,Angel Fuller,39,Male,HR,3677,04/08/2015,,3,Active,New York,Evening
419,Sonia Davis,27,Male,HR,5837,16/11/2024,,14,Active,New York,Morning
420,Terry Gomez,64,Male,Sales,8406,20/10/2024,,7,Active,Chicago,Evening
421,Travis Brown,49,Female,HR,5735,13/04/2019,,4,Inactive,Chicago,Morning
422,Dylan Dixon,19,Female,IT,8798,07/06/2015,5,15,Active,Los Angeles,Evening
423,James Newton,30,Male,IT,5836,05/03/2023,,11,Active,New York,Evening
424,Antonio Shields,46,Male,HR,7729,11/04/2022,3,7,Inactive,Los Angeles,Night
425,Tricia Coleman,49,Male,Sales,4385,14/08/2019,,1,Inactive,Los Angeles,Morning
426,Ryan Munoz,45,Male,Sales,5367,02/04/2023,,13,Inactive,Los Angeles,Morning
427,Patricia Scott,52,Male,HR,2041,22/11/2022,1,8,Inactive,Chicago,Evening
428,Ashley Gonzales,41,Other,Sales,3720,16/08/2015,2,15,Inactive,Los Angeles,Morning
429,Vicki Carter,29,Other,Sales,7080,12/09/2015,4,4,Inactive,New York,Morning
430,Matthew Turner,62,Female,IT,4753,13/06/2020,,20,Active,Los Angeles,Morning
431,James Melton,46,Other,Sales,6746,31/07/2019,5,16,Inactive,Los Angeles,Night
432,Kayla Gregory,38,Male,Sales,7860,25/01/2023,3,8,Inactive,Los Angeles,Night
433,Bryan Medina,41,Other,HR,9516,07/04/2021,3,13,Inactive,New York,Evening
434,Cameron Harris,26,Female,HR,6763,19/04/2017,1,16,Active,Los Angeles,Morning
435,Richard Rich,27,Female,IT,7375,31/01/2023,2,16,Inactive,Los Angeles,Evening
436,Jason Robertson,37,Male,HR,5439,23/06/2016,2,14,Active,Chicago,Morning
437,Philip Huff,51,Male,HR,6877,19/07/2018,,4,Inactive,Chicago,Morning
438,Kristie Nelson,41,Other,IT,8618,04/12/2023,,6,Inactive,Los Angeles,Night
439,Mrs. Lisa Suarez,56,Male,IT,8236,06/11/2023,,2,Inactive,Los Angeles,Morning
440,Nicholas Wilson,60,Other,IT,7865,08/09/2015,2,8,Active,New York,Morning
441,Catherine Jordan,43,Female,Sales,4246,12/06/2019,,11,Active,Los Angeles,Evening
442,Michele Ruiz,53,Other,IT,5333,05/01/2023,,19,Active,New York,Evening
443,Kimberly Sparks,26,Other,Sales,9146,29/07/2024,3,3,Inactive,New York,Evening
444,Joseph Oconnor,65,Female,IT,6442,19/01/2019,4,14,Active,New York,Evening
445,Joseph Armstrong,48,Female,HR,4183,03/10/2020,4,6,Active,Chicago,Evening
446,Stephen Little,26,Other,Sales,4741,30/10/2021,,12,Inactive,New York,Morning
447,Melissa Clark,45,Female,HR,8888,11/08/2023,,13,Active,Chicago,Evening
448,Michelle Robertson,57,Female,HR,8958,07/06/2021,1,1,Active,Chicago,Morning
449,Nathan Rodriguez,29,Other,HR,8526,08/12/2021,,2,Inactive,Los Angeles,Morning
450,Marissa Hunt,40,Male,Sales,4566,18/10/2021,,2,Inactive,Chicago,Night
451,Steve Adams,63,Other,Sales,2663,31/07/2019,,16,Active,Los Angeles,Evening
452,Crystal Reyes,41,Female,Sales,3824,20/10/2018,,9,Active,New York,Morning
453,Lindsey Hall,23,Other,IT,2978,17/05/2022,2,5,Active,Chicago,Evening
454,Jay Clark,54,Other,IT,4395,21/09/2019,2,18,Inactive,Los Angeles,Evening
455,Michael Reeves,21,Female,HR,3294,20/05/2019,,13,Inactive,Chicago,Evening
456,Nicole Baxter,34,Other,IT,8946,04/12/2023,,14,Inactive,Chicago,Night
457,Cheryl Davila,55,Male,Sales,6737,15/01/2024,1,8,Inactive,Chicago,Morning
458,Emma Pratt,19,Other,IT,9946,08/04/2016,,17,Inactive,Los Angeles,Evening
459,Jennifer Nelson,44,Male,HR,7571,22/07/2017,3,7,Inactive,Chicago,Night
460,William Garrett,25,Male,Sales,8957,15/10/2022,,18,Inactive,New York,Evening
461,Jose Allen,27,Female,HR,9861,05/04/2015,3,10,Active,Chicago,Morning
462,Anne Hernandez,24,Male,HR,5998,22/02/2017,,1,Inactive,New York,Night
463,Christopher Stevens,57,Other,Sales,2495,30/01/2024,,9,Active,New York,Night
464,Alex Gordon,35,Male,Sales,5070,10/08/2022,,7,Inactive,Chicago,Night
465,Justin Thornton,35,Female,IT,6622,09/01/2020,,19,Active,Chicago,Night
466,Jeremy Perez,21,Male,IT,6980,14/03/2018,,1,Active,Los Angeles,Morning
467,Janet Carpenter,65,Other,Sales,7570,04/08/2024,5,5,Inactive,Los Angeles,Morning
468,Kimberly Brown,47,Other,HR,4781,11/12/2021,2,18,Inactive,Chicago,Night
469,Luis Shaw,29,Female,IT,4297,02/12/2023,4,10,Active,Chicago,Evening
470,Amanda Smith,65,Male,IT,5765,16/12/2016,3,9,Inactive,Los Angeles,Morning
471,Stephanie Jackson,44,Other,IT,6741,19/06/2015,,10,Active,Los Angeles,Evening
472,Matthew Thomas,65,Other,IT,5473,22/10/2020,,13,Active,New York,Evening
473,Faith Morris,18,Other,IT,4923,09/05/2021,1,8,Inactive,Chicago,Morning
474,David Potter,56,Male,IT,2016,13/07/2020,,18,Active,New York,Morning
475,Kimberly Lang,65,Female,Sales,3820,03/02/2024,4,2,Active,Chicago,Night
476,Alicia Malone,56,Female,Sales,2646,12/01/2018,,12,Inactive,Los Angeles,Evening
477,Gregory Sparks,20,Female,IT,3225,20/08/2023,1,1,Inactive,Los Angeles,Morning
478,Mary Arias,19,Male,Sales,8893,14/11/2024,,7,Active,Chicago,Evening
479,Jeffrey Robles,28,Male,Sales,8039,04/07/2024,,8,Active,Chicago,Evening
480,Jay Scott,28,Other,HR,5496,21/01/2015,,18,Active,Chicago,Night
481,Brandon Flores,41,Female,Sales,4368,10/11/2023,4,11,Inactive,Los Angeles,Morning
482,Donna King,28,Male,IT,6725,02/08/2016,5,16,Active,Chicago,Night
483,Curtis Barrett,29,Female,Sales,5215,08/09/2021,,6,Inactive,Chicago,Evening
484,Jason Hayden,43,Female,IT,3929,26/02/2017,1,17,Active,Chicago,Evening
485,Patricia Washington,27,Male,IT,6050,05/11/2017,5,15,Active,Chicago,Night
486,Chelsea Owens,64,Male,IT,8514,21/05/2021,2,8,Active,New York,Morning
487,Kayla Garcia,44,Female,Sales,6034,27/05/2020,,9,Inactive,New York,Night
488,Lisa Torres,36,Male,HR,5608,21/06/2020,1,9,Inactive,New York,Evening
489,Madison Smith,26,Male,IT,5993,30/08/2024,2,17,Inactive,New York,Morning
490,Molly Choi,55,Other,Sales,5001,07/11/2016,4,7,Active,Chicago,Evening
491,Kristy Phillips,22,Other,Sales,5217,17/05/2019,,12,Active,Chicago,Evening
492,Dr. Jacob Castaneda DVM,53,Other,Sales,9181,17/02/2024,5,1,Inactive,Los Angeles,Morning
493,Dr. Thomas Brown,42,Other,HR,2106,10/02/2017,2,9,Active,Chicago,Night
494,Michael Torres,23,Female,HR,6730,12/05/2024,,18,Inactive,New York,Night
495,Scott Fleming,51,Female,HR,2700,04/12/2018,,12,Inactive,Chicago,Morning
496,Patrick Martin,50,Other,Sales,8594,30/10/2021,5,9,Inactive,Chicago,Night
497,Brittany Martinez,30,Other,Sales,3558,16/10/2020,,18,Inactive,New York,Night
498,Lori Thomas,52,Male,IT,7471,14/03/2023,,9,Inactive,New York,Evening
499,Paul Mccullough,62,Other,IT,6359,12/01/2021,2,15,Active,Los Angeles,Evening
500,Bruce Rodriguez,62,Male,IT,9773,23/09/2019,,19,Inactive,Los Angeles,Night
501,Kristi Stevens,22,Male,HR,6558,30/10/2021,1,14,Active,Chicago,Night
502,Christina Hayes,32,Male,Sales,7401,28/07/2020,,8,Active,Los Angeles,Evening
503,Dawn Choi,28,Female,IT,8308,21/10/2018,5,18,Active,Los Angeles,Night
504,Zachary Bowen,25,Male,Sales,2712,28/05/2016,,10,Active,Chicago,Morning
505,Crystal Lee,64,Male,HR,3934,09/07/2022,5,20,Inactive,Los Angeles,Night
506,Dr. Justin Vega,50,Female,HR,3135,20/03/2020,,17,Inactive,Los Angeles,Night
507,Bradley Riley,62,Other,IT,3980,09/01/2024,,9,Active,New York,Morning
508,George Mcpherson,35,Male,HR,8602,30/10/2018,2,17,Inactive,New York,Morning
509,Erica Garcia,32,Female,IT,3726,11/10/2021,,4,Active,Chicago,Night
510,Christopher Black,62,Female,HR,3278,29/08/2021,5,10,Inactive,Los Angeles,Evening
511,Charles Smith,24,Female,IT,5716,13/12/2019,5,15,Active,Chicago,Night
512,Ellen Wright,56,Male,HR,7339,06/01/2023,,1,Active,New York,Evening
513,Ryan Hess,41,Male,HR,3067,06/12/2023,2,19,Active,Los Angeles,Evening
514,Miss Alyssa Perez DDS,59,Other,HR,8297,13/10/2015,4,1,Inactive,Los Angeles,Morning
515,Taylor Williamson,48,Male,HR,9293,10/03/2015,,17,Inactive,Chicago,Night
516,Megan Sullivan,42,Female,IT,4243,24/05/2023,3,2,Active,Los Angeles,Evening
517,Christina Lowe,35,Female,Sales,9630,03/07/2018,,1,Active,Los Angeles,Night
518,Anthony Sanchez DVM,37,Other,IT,9844,28/11/2020,,4,Active,Los Angeles,Morning
519,Kyle Strong,46,Female,HR,6688,06/05/2019,,16,Active,New York,Night
520,Omar Thomas,60,Male,Sales,2949,12/11/2015,2,18,Inactive,Chicago,Morning
521,Angela Jimenez,44,Other,HR,2246,02/05/2016,2,6,Inactive,New York,Evening
522,Rebecca Stone,18,Female,HR,2302,08/01/2024,,6,Active,New York,Night
523,Kyle Smith,37,Male,IT,8961,04/09/2020,1,1,Inactive,Chicago,Evening
524,Gwendolyn Ray,36,Female,Sales,3619,08/06/2021,3,7,Inactive,New York,Evening
525,Stephen Wilcox,19,Other,HR,8100,06/02/2019,1,4,Active,Chicago,Night
526,Ashley Barber,55,Male,IT,3072,26/08/2022,,16,Inactive,New York,Night
527,Brittany Holt,55,Male,IT,2247,18/02/2018,4,19,Inactive,New York,Morning
528,Amber Rodriguez,18,Male,Sales,4941,11/12/2022,5,19,Active,Los Angeles,Morning
529,Anne Roberts,44,Male,Sales,6936,20/11/2016,2,2,Active,Chicago,Evening
530,Katie Vega,40,Female,HR,7002,06/08/2019,2,20,Active,Los Angeles,Night
531,Gabriel Weber,32,Male,HR,2759,10/05/2016,5,7,Inactive,Los Angeles,Evening
532,Jeffrey Williamson,54,Other,IT,9988,08/12/2015,,16,Inactive,Chicago,Evening
533,Jason Juarez,61,Other,Sales,2646,25/03/2019,,17,Inactive,Los Angeles,Morning
534,Toni Hall,53,Other,HR,3093,23/10/2016,3,7,Active,New York,Night
535,Ryan Ramos,28,Female,Sales,4004,22/10/2016,,10,Active,Chicago,Morning
536,Thomas Stuart,30,Male,HR,4615,07/01/2022,,11,Inactive,Los Angeles,Evening
537,Joseph Adams,31,Female,Sales,3299,28/02/2018,,10,Inactive,New York,Night
538,Kimberly Burke,20,Male,IT,2492,25/09/2016,,3,Inactive,Los Angeles,Morning
539,Brandon Church,38,Male,HR,8388,02/08/2021,1,20,Inactive,Chicago,Morning
540,Jonathan Reed,39,Female,IT,9823,02/04/2019,,1,Active,Chicago,Night
541,Julie Turner,53,Female,HR,6092,01/09/2021,,16,Active,New York,Evening
542,Joseph Vargas,46,Female,Sales,5594,05/09/2016,,3,Active,Chicago,Evening
543,Michael Parker,37,Other,HR,6468,17/11/2018,,13,Inactive,Los Angeles,Evening
544,Erin Cunningham,63,Other,HR,9838,10/06/2015,5,20,Active,Los Angeles,Morning
545,Elizabeth Watson,47,Female,HR,2766,11/10/2018,,20,Inactive,Los Angeles,Night
546,Tara Mccoy,31,Male,IT,8103,23/05/2020,5,4,Active,Chicago,Night
547,Louis Larsen,24,Male,Sales,8608,30/10/2018,,20,Inactive,Los Angeles,Night
548,Tara Waller,50,Other,IT,3902,21/10/2020,,5,Inactive,Los Angeles,Evening
549,Morgan Thompson,32,Other,HR,7206,11/01/2018,,9,Inactive,New York,Night
550,Jason Greene,26,Male,Sales,5184,09/12/2018,,11,Active,Chicago,Evening
551,Patricia Terry,50,Male,Sales,3609,30/01/2020,,3,Inactive,Los Angeles,Evening
552,Melissa Erickson,48,Other,IT,2152,04/07/2020,,11,Active,Los Angeles,Morning
553,Amanda Griffith,26,Male,Sales,9704,30/05/2019,,9,Active,New York,Evening
554,Leslie Walker,20,Other,IT,2061,05/09/2024,3,14,Inactive,Chicago,Morning
555,Johnny Dalton,28,Other,HR,2673,05/10/2023,,17,Inactive,New York,Night
556,Crystal Kidd,29,Female,HR,8220,20/11/2019,5,11,Active,Los Angeles,Morning
557,Kristina Phillips,24,Male,IT,7887,22/01/2018,,14,Active,Chicago,Night
558,Michaela Rivera,28,Male,HR,9163,05/10/2018,2,12,Active,Los Angeles,Morning
559,Tammy Mcpherson,63,Female,Sales,2640,24/10/2020,,3,Active,New York,Morning
560,Carrie Thomas,39,Female,Sales,2831,22/03/2022,4,8,Active,Los Angeles,Evening
561,Kimberly Davis,52,Female,HR,7404,06/01/2024,4,15,Inactive,New York,Morning
562,Pamela Levine,37,Female,HR,8201,13/11/2017,2,16,Inactive,Chicago,Morning
563,Beverly Logan,51,Female,HR,9646,08/08/2021,,18,Inactive,Chicago,Evening
564,Pamela Ellison,23,Female,HR,7551,18/10/2018,,13,Inactive,New York,Night
565,Kathleen Ross,50,Male,IT,8941,12/09/2018,2,11,Active,New York,Morning
566,Erica Jones,46,Female,Sales,3768,19/10/2022,1,4,Inactive,Chicago,Night
567,Adam Thomas,32,Female,HR,9370,08/05/2021,4,20,Inactive,New York,Night
568,Courtney Lucas,20,Other,Sales,7155,17/11/2015,,1,Inactive,Los Angeles,Night
569,Kimberly Montgomery,55,Female,Sales,6345,06/03/2019,,2,Active,Los Angeles,Evening
570,Paul Smith,35,Other,IT,2042,22/12/2016,,4,Active,New York,Evening
571,Tamara Harding,18,Other,HR,2392,08/03/2017,,20,Active,Los Angeles,Evening
572,Suzanne Miller,41,Other,Sales,4208,26/02/2023,4,5,Inactive,Chicago,Evening
573,Laura Harvey,22,Male,IT,3141,06/02/2024,,19,Inactive,New York,Night
574,Patrick Rodriguez,38,Male,IT,3532,18/11/2018,,1,Active,New York,Morning
575,Sabrina Davis,27,Other,HR,3247,22/09/2021,4,11,Active,Chicago,Morning
576,Eric Smith,34,Male,HR,5168,15/12/2023,1,14,Inactive,New York,Evening
577,Chad Kennedy,49,Male,Sales,7111,15/03/2022,5,18,Active,Chicago,Night
578,Denise Lindsey,28,Other,IT,4002,25/03/2015,2,12,Active,New York,Evening
579,Dawn Fuller MD,18,Other,HR,8824,03/11/2015,5,11,Inactive,New York,Morning
580,Mark Santiago,32,Male,HR,3736,26/09/2018,3,17,Active,New York,Evening
581,Jennifer Stewart,32,Female,HR,9772,05/05/2021,1,8,Inactive,Los Angeles,Night
582,Sara Harris,35,Other,IT,3433,07/03/2024,,11,Active,New York,Evening
583,Nicholas Anderson,60,Male,Sales,3154,13/02/2016,,12,Inactive,New York,Night
584,Robin Williams,19,Other,HR,6531,01/11/2018,2,10,Inactive,Los Angeles,Morning
585,Angela Bell,62,Female,Sales,2844,11/04/2015,5,10,Active,New York,Evening
586,Alexander Mitchell,24,Other,HR,2401,21/01/2020,2,19,Inactive,New York,Night
587,Leslie Harmon,47,Male,IT,5440,19/09/2016,,11,Inactive,New York,Evening
588,Krystal Rice,42,Other,HR,9390,05/08/2021,5,13,Inactive,New York,Morning
589,Mr. Gary Ramos,64,Other,Sales,7293,05/12/2022,2,4,Inactive,Los Angeles,Night
590,Meghan Beck,18,Female,HR,7088,05/11/2020,,7,Active,Los Angeles,Night
591,Nancy Vincent,38,Other,HR,7948,06/09/2020,,18,Inactive,Los Angeles,Morning
592,Jonathan Rangel,49,Other,Sales,9323,19/01/2021,,18,Inactive,Chicago,Evening
593,Laura Smith,47,Female,Sales,7876,30/04/2019,2,1,Active,Los Angeles,Morning
594,Amber Mason,28,Other,HR,8165,27/12/2020,,4,Active,Chicago,Evening
595,Michelle Smith,35,Other,Sales,9906,18/12/2018,,9,Active,Los Angeles,Evening
596,Megan Barry,53,Female,Sales,8742,05/04/2019,,16,Inactive,Los Angeles,Evening
597,Kathy Clark,55,Female,IT,4040,23/05/2015,2,19,Inactive,New York,Morning
598,Brenda Torres,20,Male,HR,2256,10/04/2020,,9,Active,New York,Evening
599,James Rose,58,Female,HR,2593,01/08/2019,,11,Inactive,Chicago,Night
600,Stephen Weber,20,Male,HR,7375,15/02/2016,5,2,Active,Chicago,Night
601,Jason Hess,30,Female,IT,7847,04/04/2024,3,10,Inactive,New York,Morning
602,Connie Collins,52,Male,Sales,6509,07/05/2021,1,1,Active,Chicago,Morning
603,Melissa Evans,37,Female,HR,4680,22/11/2020,2,13,Inactive,Los Angeles,Evening
604,Thomas Martinez,50,Male,HR,7767,24/03/2021,1,3,Inactive,New York,Morning
605,Erin Phillips,65,Female,Sales,8054,04/01/2022,2,9,Active,New York,Night
606,Stephanie Lopez,36,Female,IT,5765,31/08/2023,1,17,Inactive,New York,Night
607,Christopher Knapp,54,Male,HR,5240,13/07/2016,,12,Inactive,New York,Evening
608,Shelly Russo,48,Female,Sales,3845,14/09/2015,4,13,Active,Chicago,Night
609,Kimberly Galvan,55,Male,HR,8646,24/03/2018,2,14,Inactive,New York,Night
610,Renee Burnett,62,Male,Sales,4160,25/08/2021,3,12,Active,Chicago,Night
611,Kerry Simon,50,Male,Sales,6272,19/01/2018,,1,Active,New York,Night
612,Alfred Barr,31,Female,Sales,4654,01/05/2020,,7,Inactive,Chicago,Morning
613,Kelsey Hines,64,Other,IT,9282,06/10/2016,,20,Active,New York,Evening
614,Elizabeth Dudley,64,Other,HR,5152,05/05/2019,,15,Active,New York,Night
615,Kimberly Dunlap,53,Male,HR,4213,21/06/2018,,1,Active,Los Angeles,Morning
616,David Pena,59,Male,IT,3105,09/07/2017,3,9,Active,Los Angeles,Night
617,Sarah Castro,19,Other,IT,6934,20/10/2019,4,8,Inactive,Los Angeles,Evening
